id,title,category,prompt,when
1,Expired Domain Quality Score,Domain Hunting,"You are a domain QC analyst. Given this domain: {{domain}}
Wayback snapshots: {{wayback_count}} ({{wayback_years}})
Top anchors: {{anchors}}
Sample page titles: {{titles}}

Score it 1-10 on: 1) Real business history (vs parked spam) 2) PBN risk 3) Brandability. Reject if: contains 'seoexpress', 'pbn', <3 snapshots, or only promo copy. Return JSON: {score, verdict: REAL/MAYBE/SPAM, reason, notes_for_csv}",Use after hunter.py finds a domain - paste Spamzilla + Wayback data
2,Niche Keyword Expander - CAD/Audio/DR40,Domain Hunting,"I hunt expired domains for {{facility: CAD Facility / Audio Facility / Daily DR40}}. Seed keywords: {{seed_keywords}}. Expand to 50 long-tail keywords that REAL businesses would use, not SEO spam. Exclude 'seo', 'pbn', 'casino', 'crypto'. Group by intent: brand, service, location. Return as CSV.",Generate better hunter.py filters
3,Spamzilla CSV Cleaner,Domain Hunting,"Clean this Spamzilla CSV: {{paste_csv_rows}}. Rules: 1) Drop any domain containing seoexpress, seo, pbn, casino, essay, loan 2) Keep only DR>=25 3) Add column 'wayback_quality' - if <3 snapshots = LIKELY SPAM 4) Add column 'notes' - REAL SITE vs LIKELY SPAM. Return cleaned CSV with same headers + 2 new columns.",Turn 100-row junk into 20-row shortlist
4,Domain Flip Outreach Email,Domain Hunting,"Write a 4-sentence outreach to sell {{domain}} to a {{buyer_type: CAD shop, audio studio, etc}}. History: {{wayback_summary}}. DR: {{dr}} Backlinks: {{backlinks}}. Don't sound like a spammer. Mention real history, why it's a fit, price range {{price}}, and easy transfer. Casual but professional.",Sell cleaned domains
5,PBN & Promo Spam Detector,SEO & Spam Filter,"Analyze this site content: {{paste_text_or_urls}}. Is it 'seoexpress' promo spam? Check for: repeated 'best SEO services' templates, same author across sites, fake testimonials, <5 pages of thin content. Return: SPAM / CLEAN and 3 evidence bullets. Example bad: audioproductionhub.com",Filter hunter.py results like audioproductionhub.com
6,Backlink Profile Human Summary,SEO & Spam Filter,"Summarize this backlink profile for a non-SEO client: Domain {{domain}} - DR {{dr}} - Backlinks {{count}} - Top referring: {{domains}} - Anchors: {{anchors}}. Write 3 bullets: Strength, Risk (spam?), Opportunity. No jargon.",Client-facing domain report
7,Wayback Quality Explainer,SEO & Spam Filter,"Explain Wayback snapshot count: Domain {{domain}} has {{count}} snapshots from {{years}}. Translate: 2 snapshots = parked spam, 80 snapshots over 10 years = real business that died. Give verdict and what to check next in Archive.org.",You were confused on visits vs saves - this clarifies
8,Fix 'No event triggers defined in on' YAML,Automation & GitHub,"My GitHub Actions YAML fails with 'No event triggers defined in on': {{paste_yaml}}. Fix indentation, ensure 'on:' has workflow_dispatch and schedule. Return minimal working YAML that ALWAYS parses, with LF, no smart quotes. Include collision-proof file names: daily-*.csv, cad-*.csv, audio-*.csv",Exact error you hit on hunt.yml
9,Desktop Bypass for Broken Web Editor,Automation & GitHub,I keep getting YAML parse errors in GitHub website editor. Give me GitHub Desktop steps to: 1) Delete .github folder 2) Recreate workflows folder 3) Drag clean files 4) Commit with 'fix: final' 5) Push. Keep it bullet-proof for indents.,When web editor corrupts indents
10,n8n Workflow from Idea,Automation & n8n,"Turn this idea into an n8n workflow: {{idea}}. Nodes needed: {{Trigger, HTTP Request, Filter, CSV, GitHub}}. Handle rate limits, deduplication, and auto-commit. Return node-by-node steps + JSON I can import.",Build automation kits like your AutomationCentral ones
11,Scraper Code Review - Requests/BS4,Automation & GitHub,Review this scraper: {{paste_python}}. Stack: requests + BeautifulSoup + lxml. Check: 1) Spam filter 2) Wayback CDX API call 3) Collision handling 4) CSV writing. Be blunt - what would break at 1000 domains? Suggest 3 fixes.,hunter.py v3 review
12,Cron Collision Debugger,Automation & GitHub,"Two workflows write same file {{filename}} at {{time}} and collide. Daily, CAD, Audio all run 7-9am. Fix: suggest unique file naming (daily-{{date}}.csv) and concurrency groups. Return fixed YAML snippet.",Why Daily + CAD failed but Audio worked
13,Faceless Content Script from Domain Niche,Creator & Faceless,"Domain niche: {{niche: CAD, audio production, etc}}. History: {{wayback_summary}}. Write a 30-second faceless video script: Hook (problem), 3 tips from old site content, CTA to check {{domain}}. No face needed, just voiceover + B-roll suggestions.",Turn expired domains into content
14,Etsy Shop Description from Domain,Creator & Faceless,"Create Etsy shop launch kit from this expired domain: {{domain}} - old titles: {{titles}}. Output: Shop name, 3 product ideas, description (human, not AI), 13 tags. Style: {{vibe}}",Your Etsy shop launching kit
15,YouTube Data Accuracy Checker,Creator & Faceless,"I have YouTube data: {{paste_data}}. Check accuracy: compare views, upload dates, and transcripts vs actual video {{url}}. Flag mismatches and likely cause (scrape delay, shorts vs long). Return clean table.",Your YouTube data accuracy kit
16,Facebook Reach Recovery Audit,Creator & Faceless,"My Facebook page {{page_name}} reach dropped. Recent posts: {{paste_posts}}. Analyze: posting time, link vs native, engagement bait, repost frequency. Give 3 fixes to recover reach this week, no 'buy ads' generic advice.",Your Facebook reach recovery kit
17,LinkedIn Lead Scraper Cleanup,Lead Gen,"Clean these LinkedIn leads: {{paste_csv}}. Remove duplicates, fake titles, students. Add column 'personalized_opener' referencing {{their_post_or_company}}. Return outreach-ready CSV + 2-sentence DM template that doesn't sound like automation.",Your LinkedIn lead scraping kit
18,6-Kit Offer Builder (AutomationCentral Style),Lead Gen,"Turn this skill into 6 kit offers like AutomationCentral.online: Skill {{skill}}. Create carousel titles: 'LinkedIn Lead Scraping', 'Faceless Content Assets', etc. Each: problem, what's inside, who it's for. Price tier $19-49.",Build new digital product carousels
19,Landing Page Copy for Digital Kit,Lead Gen,"Write landing page for kit: {{kit_name}}. Audience: {{audience}}. Promise: {{promise}}. Sections: Hero (pain), What's Inside (bullets), Who's it for / Not for, FAQ (2 Qs). Tone: direct, no hype, like you talk.",Sell kits
20,Messy Notes to GitHub Issues,Work Smarter,"Turn these messy notes into GitHub issues: {{paste_notes}}. Each issue: title, description, label (bug/enhancement), priority (high/mid/low), checklist. Group related notes.",End of day brain dump
21,Firm But Chill Client Reply,Work Smarter,"Client says: '{{client_message}}' Context: {{context - e.g., hunt.yml failing 3x}}. Write reply: acknowledge waste of time, own fix, give clear next step (GitHub Desktop bypass), set boundary. Tone: not corporate, not angry. 4 sentences max.",When you're getting annoyed but need to stay professional
22,YouTube Transcript to Action Plan,Work Smarter,"Summarize this transcript: {{paste_transcript_or_url}} Into: 5 bullets, 1 action plan (do today), 1 code snippet or tool to try. Skip intro fluff. Keep it tactical.",Learn fast from long videos
23,De-AI My Writing,Work Smarter,"Rewrite this to not sound like AI: {{paste_text}}. Rules: short sentences, contractions, one typo-level imperfection ok, no em dashes, no 'delve' 'leverage' 'unlock'. Keep meaning. Make it sound like you texted it.","Fix Marketplace listings, posts, outreach"
24,Daily Hunter Report Generator,Domain Hunting,"I have hunter outputs: {{paste_csv_summary_or_files}}. Generate daily report: Total domains found, breakdown by facility (daily/cad/audio), top 5 by DR, spam filtered count, wayback avg, and 3 next actions. Format for GitHub commit message + Slack.",End of daily hunt runs
